code,parent_code,description,comment,level,isic_rev4_code,isic_rev4_description,mapping_type
poultry-nolitter,manuretreatment,Poultry manure without litter,,2,"0162","Support activities for animal production","one-to-many"
aerobic-natural,manuretreatment,aerobic treatment in natural aeration systems,,2,"0162","Support activities for animal production","one-to-many"
aerobic-forced,manuretreatment,aerobic treatment in forced aeration systems,,2,"0162","Support activities for animal production","one-to-many"
refining,,processing of crude materials,,0,"19","Manufacture of coke and refined petroleum products","0ne-to-one"
petrochem,refining,production of petrochemicals,,1,"1920","Manufacture of refined petroleum products","one-to-one"
csr_a,petrochem,Conventional Steam Reforming- without primary reformer (a),,2,"2011","Manufacture of basic chemicals","many-to-one"
csr_a_natural_gas,csr_a,Conventional Steam Reforming- without primary reformer (a) using natural gas,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_a_coke_oven_gas,csr_a,Conventional Steam Reforming- without primary reformer (a) using coke oven gas,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_a_heavy_fuel_oil,csr_a,Conventional Steam Reforming- without primary reformer (a) using heavy fuel oil,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_a_light_fuel_oil,csr_a,Conventional Steam Reforming- without primary reformer (a) using light fuel oil,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_a_naphtha,csr_a,Conventional Steam Reforming- without primary reformer (a) using naphtha,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_b,petrochem,Conventional Steam Reforming- with primary reformer (b),,2,"2011","Manufacture of basic chemicals","many-to-one"
csr_b_natural_gas,csr_b,Conventional Steam Reforming- with primary reformer (b) using natural gas,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_b_natural_gas_co2,csr_b,Conventional Steam Reforming- with primary reformer (b) using natural gas with CO2 capture,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_c1,petrochem,Conventional Steam Reforming- Lurgi Conventional process (c1),,2,"2011","Manufacture of basic chemicals","many-to-one"
csr_c1_natural_gas,csr_c1,Conventional Steam Reforming- Lurgi Conventional process (c1) using natural gas,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_c1_natural_gas_co2,csr_c1,Conventional Steam Reforming- Lurgi Conventional process (c1) using natural gas with CO2 capture,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_c2,petrochem,Conventional Steam Reforming- Lurgi Low Pressure Process (c2),,2,"2011","Manufacture of basic chemicals","many-to-one"
csr_c2_natural_gas,csr_c2,Conventional Steam Reforming- Lurgi Low Pressure Process (c2) using natural gas,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_c3,petrochem,Combined Steam Reforming- Lurgi Combined Process (c3),,2,"2011","Manufacture of basic chemicals","many-to-one"
csr_c3_natural_gas,csr_c3,Combined Steam Reforming- Lurgi Combined Process (c3) using natural gas,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_c4,petrochem,Conventional Steam Reforming- Lurgi Mega Methanol Process (c4),,2,"2011","Manufacture of basic chemicals","many-to-one"
csr_c4_natural_gas,csr_c4,Conventional Steam Reforming- Lurgi Mega Methanol Process (c4) using natural gas,,3,"2011","Manufacture of basic chemicals","many-to-one"
csr_w_nh3,petrochem,Conventional Steam Reforming with integrated ammonia production,,2,"2011","Manufacture of basic chemicals","many-to-one"
csr_w_nh3_natural_gas,csr_w_nh3,Conventional Steam Reforming with integrated ammonia production using natural gas,,3,"2011","Manufacture of basic chemicals","many-to-one"
